0,sip:10.10.92.121:5060,vt=20,0,TRUNK_VIETTEL
1,sip:10.10.78.11:5060,vt=30,2,GSM
1,sip:10.10.78.12:5060,vt=28,2,GSM
1,sip:10.10.78.13:5060,vt=29,2,GSM
1,sip:10.10.78.14:5060,vt=30,2,GSM
1,sip:10.10.78.15:5060,vt=29,2,GSM
1,sip:10.10.78.16:5060,vt=21,2,GSM
1,sip:10.10.78.17:5060,vt=28,2,GSM
1,sip:10.10.78.18:5060,vt=29,2,GSM
1,sip:10.10.78.19:5060,vt=29,2,GSM
1,sip:10.30.20.161:5060,vt=31,2,GSM
1,sip:10.30.20.163:5060,vt=31,2,GSM
1,sip:10.30.20.165:5060,vt=31,2,GSM
1,sip:10.30.20.171:5060,vt=31,2,GSM
1,sip:10.30.20.185:5060,vt=31,2,GSM
1,sip:10.30.170.11:5060,vt=31,2,GSM
1,sip:10.30.170.13:5060,vt=30,2,GSM
1,sip:10.30.170.15:5060,vt=30,2,GSM
1,sip:10.30.170.17:5060,vt=26,2,GSM
1,sip:10.30.170.19:5060,vt=31,2,GSM
1,sip:10.30.170.21:5060,vt=31,2,GSM
1,sip:10.30.170.23:5060,vt=30,2,GSM
1,sip:10.30.170.39:5060,vt=31,2,GSM
1,sip:10.30.170.41:5060,vt=31,2,GSM
1,sip:10.10.81.14:5060,vt=30,2,GSM
1,sip:10.10.81.15:5060,vt=29,2,GSM
1,sip:10.10.81.16:5060,vt=30,2,GSM
1,sip:10.10.81.17:5060,vt=30,2,GSM
1,sip:10.10.81.18:5060,vt=29,2,GSM
1,sip:10.10.81.19:5060,vt=30,2,GSM
1,sip:10.10.80.63:5060,vt=15,2,GSM
1,sip:10.10.80.65:5060,vt=15,2,GSM
1,sip:10.10.80.110:5060,vt=30,2,GSM
1,sip:10.10.80.111:5060,vt=31,2,GSM
1,sip:10.10.80.112:5060,vt=31,2,GSM
1,sip:10.10.80.113:5060,vt=31,2,GSM
1,sip:10.10.80.114:5060,vt=31,2,GSM
1,sip:10.10.80.115:5060,vt=30,2,GSM
1,sip:10.10.80.116:5060,vt=30,2,GSM
1,sip:10.10.80.117:5060,vt=31,2,GSM
1,sip:10.10.80.118:5060,vt=31,2,GSM
1,sip:10.10.80.119:5060,vt=31,2,GSM
1,sip:10.10.80.120:5060,vt=31,2,GSM
1,sip:10.10.80.121:5060,vt=31,2,GSM
1,sip:10.10.80.150:5060,vt=29,2,GSM
1,sip:10.10.80.151:5060,vt=29,2,GSM
1,sip:10.10.80.152:5060,vt=30,2,GSM
1,sip:10.10.80.153:5060,vt=30,2,GSM
1,sip:10.10.80.154:5060,vt=22,2,GSM
1,sip:10.10.80.157:5060,vt=16,2,GSM
1,sip:10.10.80.158:5060,vt=19,2,GSM
1,sip:10.10.80.159:5060,vt=19,2,GSM
1,sip:10.10.80.160:5060,vt=28,2,GSM
1,sip:10.10.80.161:5060,vt=31,2,GSM
1,sip:10.10.81.12:5060,vt=29,2,GSM
